iter	Passed	Remaining
402	11222	16625
403	11249	16596
404	11277	16567
405	11304	16538
406	11331	16510
407	11358	16481
408	11390	16459
409	11422	16437
410	11452	16412
411	11484	16389
412	11514	16364
413	11545	16342
414	11575	16317
415	11607	16294
416	11637	16270
417	11666	16244
418	11695	16217
419	11722	16188
420	11749	16159
421	11777	16130
422	11804	16102
423	11833	16075
424	11875	16067
425	11904	16040
426	11931	16010
427	11958	15982
428	11986	15953
429	12013	15924
430	12040	15895
431	12067	15867
432	12095	15838
433	12122	15810
434	12150	15781
435	12177	15753
436	12205	15724
437	12232	15695
438	12258	15665
439	12285	15636
440	12313	15607
441	12340	15578
442	12368	15550
443	12395	15522
444	12423	15494
445	12452	15467
446	12479	15438
447	12506	15410
448	12533	15381
449	12564	15357
450	12592	15328
451	12619	15299
452	12646	15271
453	12673	15241
454	12702	15214
455	12733	15190
456	12753	15153
457	12784	15129
458	12815	15104
459	12844	15078
460	12875	15054
461	12906	15029
462	12937	15005
463	12968	14980
464	12998	14955
465	13025	14926
466	13053	14898
467	13080	14869
468	13107	14839
469	13134	14810
470	13161	14782
471	13189	14754
472	13216	14725
473	13243	14696
474	13270	14667
475	13297	14638
476	13325	14610
477	13352	14581
478	13379	14552
479	13407	14524
480	13434	14495
481	13461	14466
482	13489	14438
483	13516	14409
484	13545	14383
485	13572	14354
486	13599	14325
487	13625	14295
488	13653	14267
489	13680	14238
490	13707	14210
491	13734	14181
492	13761	14152
493	13788	14123
494	13816	14095
495	13844	14068
496	13872	14040
497	13900	14011
498	13927	13983
499	13954	13954
500	13981	13925
501	14009	13897
502	14040	13873
503	14070	13846
504	14101	13822
505	14131	13796
506	14161	13770
507	14193	13746
508	14224	13721
509	14254	13695
510	14284	13669
511	14314	13643
512	14342	13615
513	14370	13587
514	14397	13559
515	14425	13530
516	14454	13503
517	14481	13475
518	14508	13446
519	14537	13419
520	14565	13391
521	14592	13362
522	14620	13334
523	14647	13305
524	14674	13276
525	14704	13250
526	14733	13223
527	14762	13196
528	14792	13170
529	14820	13142
530	14847	13113
531	14875	13085
532	14903	13057
533	14930	13028
534	14956	12999
535	14984	12971
536	15016	12947
537	15043	12918
538	15071	12890
539	15099	12862
540	15126	12833
541	15153	12804
542	15180	12775
543	15207	12747
544	15235	12719
545	15262	12690
546	15289	12662
547	15316	12633
548	15345	12606
549	15375	12580
550	15405	12553
551	15435	12526
552	15464	12500
553	15496	12475
554	15528	12450
555	15557	12423
556	15588	12397
557	15619	12372
558	15649	12345
559	15677	12317
560	15704	12288
561	15731	12260
562	15758	12231
563	15786	12203
564	15813	12174
565	15839	12145
566	15866	12116
567	15893	12087
568	15920	12059
569	15947	12030
570	15974	12001
571	16001	11973
572	16028	11944
573	16055	11915
574	16081	11886
575	16109	11858
576	16136	11829
577	16163	11801
578	16191	11772
579	16218	11744
580	16244	11715
581	16272	11686
582	16299	11658
583	16327	11630
584	16354	11601
585	16381	11573
586	16408	11544
587	16441	11520
588	16468	11491
589	16495	11463
590	16524	11435
591	16551	11407
592	16579	11379
593	16606	11350
594	16633	11322
595	16663	11295
596	16694	11269
597	16723	11242
598	16752	11215
599	16783	11188
600	16812	11161
601	16844	11136
602	16874	11109
603	16904	11082
604	16933	11055
605	16962	11028
606	16990	11000
607	17017	10972
608	17045	10943
609	17073	10915
610	17099	10886
611	17128	10859
612	17156	10831
613	17183	10802
614	17210	10774
615	17238	10745
616	17264	10717
617	17292	10689
618	17319	10660
619	17347	10632
620	17374	10603
621	17403	10576
622	17431	10548
623	17459	10520
624	17486	10492
625	17514	10463
626	17543	10436
627	17571	10408
628	17598	10380
629	17625	10351
630	17652	10322
631	17679	10294
632	17706	10265
633	17733	10237
634	17761	10209
635	17788	10181
636	17815	10152
637	17842	10124
638	17869	10095
639	17896	10066
640	17923	10038
641	17951	10010
642	17981	9983
643	18013	9957
644	18043	9930
645	18074	9904
646	18103	9877
647	18133	9850
648	18180	9832
649	18210	9805
650	18241	9779
651	18269	9751
652	18298	9723
653	18325	9695
654	18353	9667
655	18380	9638
656	18407	9609
657	18434	9581
658	18461	9552
659	18488	9524
660	18517	9497
661	18561	9477
662	18611	9460
663	18645	9435
664	18673	9406
665	18700	9378
666	18727	9349
667	18754	9321
668	18781	9292
669	18808	9263
670	18834	9234
671	18862	9206
672	18889	9177
673	18916	9149
674	18945	9121
675	18972	9093
676	18999	9064
677	19026	9036
678	19053	9007
679	19081	8979
680	19109	8951
681	19136	8922
682	19163	8894
683	19190	8865
684	19217	8837
685	19244	8808
686	19271	8780
687	19301	8753
688	19332	8726
689	19362	8699
690	19392	8672
691	19422	8644
692	19453	8617
693	19482	8590
694	19514	8564
695	19545	8536
696	19575	8510
697	19605	8482
698	19632	8454
699	19659	8425
700	19686	8397
701	19714	8368
702	19741	8340
703	19769	8312
704	19797	8283
705	19824	8255
706	19850	8226
707	19877	8198
708	19904	8169
709	19931	8140
710	19957	8112
711	19985	8083
712	20013	8055
713	20040	8027
714	20068	7999
715	20096	7971
716	20123	7942
717	20150	7914
718	20179	7886
719	20206	7858
720	20234	7829
721	20261	7801
722	20288	7772
723	20315	7744
724	20341	7715
725	20369	7687
726	20396	7659
727	20424	7631
728	20452	7603
729	20479	7574
730	20509	7547
731	20537	7519
732	20566	7491
733	20594	7463
734	20626	7436
735	20656	7409
736	20686	7381
737	20715	7354
738	20746	7327
739	20776	7299
740	20805	7272
741	20835	7244
742	20865	7217
743	20895	7189
744	20925	7162
745	20952	7133
746	20979	7105
747	21007	7077
748	21035	7049
749	21062	7020
750	21089	6992
751	21118	6964
752	21145	6936
753	21172	6907
754	21199	6879
755	21226	6850
756	21253	6822
757	21281	6794
758	21309	6766
759	21337	6738
760	21365	6709
761	21392	6681
762	21419	6653
763	21446	6624
764	21474	6596
765	21503	6568
766	21531	6540
767	21558	6512
768	21585	6484
769	21613	6455
770	21640	6427
771	21667	6399
772	21694	6370
773	21722	6342
774	21749	6314
775	21777	6286
776	21804	6257
777	21832	6229
778	21859	6201
779	21886	6173
780	21914	6145
781	21946	6117
782	21977	6090
783	22008	6063
784	22037	6035
785	22067	6008
786	22105	5982
787	22139	5956
788	22170	5929
789	22200	5901
790	22231	5873
791	22259	5845
792	22287	5817
793	22315	5789
794	22342	5761
795	22369	5732
796	22396	5704
797	22424	5676
798	22452	5648
799	22479	5619
800	22508	5591
801	22535	5563
802	22562	5535
803	22589	5507
804	22617	5478
