iter	RMSE
0	64.0068624
1	60.08896551
2	56.75825919
3	53.81916322
4	51.23182506
5	48.89112649
6	46.92736739
7	45.14628245
8	43.73300345
9	42.61827753
10	41.49141209
11	40.58918043
12	39.75415004
13	39.08170385
14	38.51156617
15	37.99881708
16	37.66211817
17	37.34036794
18	37.0088805
19	36.78137739
20	36.570613
21	36.42120834
22	36.23622365
23	36.13171392
24	36.08518769
25	35.99351208
26	35.86917802
27	35.7789484
28	35.67620475
29	35.61685342
30	35.55723559
31	35.5232373
32	35.47046123
33	35.42186107
34	35.38621716
35	35.33992257
36	35.3034736
37	35.28108939
38	35.240933
39	35.19348612
40	35.16236367
41	35.14020813
42	35.13929319
43	35.12317658
44	35.10251061
45	35.06374004
46	35.03197333
47	35.02788422
48	35.00457554
49	34.98105447
50	34.9537052
51	34.94547522
52	34.92541134
53	34.90970661
54	34.89328011
55	34.87386542
56	34.86314214
57	34.8499059
58	34.84799736
59	34.84318672
60	34.83311065
61	34.81550285
62	34.80252596
63	34.78075858
64	34.77576704
65	34.75859949
66	34.73637769
67	34.72322499
68	34.72320113
69	34.68760654
70	34.67397761
71	34.65864412
72	34.63716796
73	34.60605721
74	34.60380781
75	34.57868074
76	34.56488997
77	34.54525713
78	34.52707286
79	34.52707283
80	34.51364433
81	34.50558172
82	34.49424684
83	34.47401734
84	34.44017375
85	34.42669284
86	34.39608292
87	34.38638684
88	34.37375043
89	34.34323182
90	34.33376655
91	34.32731706
92	34.32115498
93	34.3127602
94	34.29830032
95	34.29288431
96	34.28194377
97	34.26940876
98	34.25477327
99	34.23543346
100	34.22157758
101	34.20956584
102	34.20192336
103	34.18892699
104	34.17071953
105	34.16125378
106	34.14997047
107	34.14537496
108	34.13997035
109	34.11619381
110	34.10892057
111	34.09057244
112	34.07300552
113	34.06497247
114	34.05798169
115	34.04208176
116	34.02064655
117	34.01356454
118	34.00603542
119	34.00050679
120	33.95856535
121	33.95290758
122	33.94587418
123	33.92499634
124	33.91193795
125	33.89971826
126	33.88443948
127	33.88111585
128	33.86529928
129	33.8621146
130	33.83867085
131	33.82761213
132	33.82103435
133	33.81221765
134	33.79141282
135	33.78141658
136	33.77485714
137	33.75865189
138	33.74506753
139	33.73449751
140	33.71719806
141	33.7158917
142	33.70412084
143	33.6843131
144	33.67140971
145	33.66749087
146	33.655339
147	33.65358137
148	33.64142328
149	33.63638083
150	33.6292158
151	33.62720372
152	33.60173235
153	33.58356515
154	33.57674792
155	33.56990294
156	33.56610695
157	33.5584802
158	33.55621567
159	33.53912637
160	33.52741918
161	33.51963158
162	33.51755107
163	33.50589358
164	33.49615663
165	33.48056626
166	33.47708615
167	33.46359281
168	33.45055571
169	33.43607442
170	33.43324501
171	33.4177716
172	33.40467548
173	33.39475137
174	33.38845304
175	33.38257936
176	33.37142564
177	33.36204953
178	33.34960466
179	33.34458571
180	33.33498663
181	33.33498552
182	33.33239657
183	33.31249122
184	33.30461448
185	33.29868156
186	33.28393601
187	33.27530951
188	33.26738135
189	33.25926693
190	33.24825017
191	33.24227155
192	33.22983216
193	33.21514267
194	33.21378059
195	33.21104939
196	33.20925125
197	33.19723229
198	33.19322666
